date,title,description,location,url_thumb,url_full
2013-05-05,Carina,,Montréal,/img/photos/portraits/400px/20130505-portraits-philboivin-001.jpg,/img/photos/portraits/900px/20130505-portraits-philboivin-001.jpg
2015-10-11,Francine,,Montréal,/img/photos/portraits/400px/20151011-portraits-philboivin-004.jpg,/img/photos/portraits/900px/20151011-portraits-philboivin-004.jpg
2015-11-29,Romain et Stéphane,,Montréal,/img/photos/portraits/400px/20151129-portraits-philboivin-007.jpg,/img/photos/portraits/900px/20151129-portraits-philboivin-007.jpg
2015-02-08,Carina,,Montréal,/img/photos/portraits/400px/20150208-portraits-philboivin-003.jpg,/img/photos/portraits/900px/20150208-portraits-philboivin-003.jpg
2015-12-17,Silvio,,Montréal,/img/photos/portraits/400px/20151217-portraits-philboivin-008.jpg,/img/photos/portraits/900px/20151217-portraits-philboivin-008.jpg
2015-02-06,Carina,,Montréal,/img/photos/portraits/400px/20150206-portraits-philboivin-002.jpg,/img/photos/portraits/900px/20150206-portraits-philboivin-002.jpg
2016-11-12,Zoey,,Montréal,/img/photos/portraits/400px/20161112-portraits-philboivin-009.jpg,/img/photos/portraits/900px/20161112-portraits-philboivin-009.jpg
2015-11-29,Romain,,Montréal,/img/photos/portraits/400px/20151129-portraits-philboivin-006.jpg,/img/photos/portraits/900px/20151129-portraits-philboivin-006.jpg
2017-03-18,Len,,Montréal,/img/photos/portraits/400px/20170318-portraits-philboivin-010.jpg,/img/photos/portraits/900px/20170318-portraits-philboivin-010.jpg
2017-05-07,Vincent,,Montréal,/img/photos/portraits/400px/20170507-portraits-philboivin-011.jpg,/img/photos/portraits/900px/20170507-portraits-philboivin-011.jpg
2019-11-12,Véronique,,Montréal,/img/photos/portraits/400px/20191112-portraits-philboivin-018.jpg,/img/photos/portraits/900px/20191112-portraits-philboivin-018.jpg
2017-05-14,Marie-Maude,,Montréal,/img/photos/portraits/400px/20170514-portraits-philboivin-012.jpg,/img/photos/portraits/900px/20170514-portraits-philboivin-012.jpg
2017-10-01,Sam et Carina,,Montréal,/img/photos/portraits/400px/20171001-portraits-philboivin-013.jpg,/img/photos/portraits/900px/20171001-portraits-philboivin-013.jpg
2017-10-28,Zoey,,Montréal,/img/photos/portraits/400px/20171028-portraits-philboivin-014.jpg,/img/photos/portraits/900px/20171028-portraits-philboivin-014.jpg
2019--01-20,Zoey,,Montréal,/img/photos/portraits/400px/20190120-portraits-philboivin-015.jpg,/img/photos/portraits/900px/20190120-portraits-philboivin-015.jpg
2019-01-26,Jocelyn,,Montréal,/img/photos/portraits/400px/20190126-portraits-philboivin-016.jpg,/img/photos/portraits/900px/20190126-portraits-philboivin-016.jpg
2019-01-26,Théâtre de la Fournaise,,Montréal,/img/photos/portraits/400px/20190126-portraits-philboivin-017.jpg,/img/photos/portraits/900px/20190126-portraits-philboivin-017.jpg
2015-11-15,Carina,,Montréal,/img/photos/portraits/400px/20151115-portraits-philboivin-005.jpg,/img/photos/portraits/900px/20151115-portraits-philboivin-005.jpg
