date,title,description,location,url_thumb,url_full
2021-09-08,Alain Gignac,"Alain Gignac, président de la Fondation de l'institut de cardiologie de Montréal (La Presse).",Montréal,/img/photos/portraits/20210908-LaPresse-PhilBoivin-003.jpg,/img/photos/portraits/20210908-LaPresse-PhilBoivin-003.jpg
2015-11-29,Romain et Stéphane,Romain lors de son 9e jour.,Montréal,/img/photos/portraits/20151129-portraits-philboivin-007.jpg,/img/photos/portraits/20151129-portraits-philboivin-007.jpg
2021-11-23,Roxane Bruneau,"Couverture du spectacle Acrophobie de Roxane Bruneau, à L'Étoile Banque Nationale de Brossard.",Brossard,/img/photos/portraits/20211123-PhilBoivin-007-3T8A7612.jpg,/img/photos/portraits/20211123-PhilBoivin-007-3T8A7612.jpg
2021-10-12,Catherine Perrin,"Catherine Perrin pour la parution de son nouveau livre, L'âge des accidents.",Montréal,/img/photos/portraits/20211012-PhilBoivin-002-3T8A3595.jpg,/img/photos/portraits/20211012-PhilBoivin-002-3T8A3595.jpg
2015-10-11,Francine,Portrait rapide après un déjeuner.,Montréal,/img/photos/portraits/20151011-portraits-philboivin-004.jpg,/img/photos/portraits/20151011-portraits-philboivin-004.jpg
2021-11-30,Stanley Février,Lors de son exposition Les vies possibles / Menm vye tintin au Musée d’art contemporain des Laurentides à Saint-Jérôme.,Saint-Jérôme,/img/photos/portraits/20211130-PhilBoivin-031-3T8A1758.jpg,/img/photos/portraits/20211130-PhilBoivin-031-3T8A1758.jpg
2021-11-02,René Derouin,Lors du ancement du documentaire de Patrick Bossé “Territoires des Amériques” sur l’artiste multidisciplinaire René Derouin à la Société des Arts Technologiques (SAT).,Montréal,/img/photos/portraits/20211102-PhilBoivin-004-3T8A7646.jpg,/img/photos/portraits/20211102-PhilBoivin-004-3T8A7646.jpg
2021-11-10,Éléonore Loiselle,La comédienne Éléonore Loiselle dans le Vieux-Montréal.,Montréal,/img/photos/portraits/20211110-PhilBoivin-050-3T8A1481.jpg,/img/photos/portraits/20211110-PhilBoivin-050-3T8A1481.jpg
2021-11-05,Luxia Innovation,"Eric Roberge et Francis Labonté, copropriétaires de Luxia Innovation.",Montréal,/img/photos/portraits/20211105-PhilBoivin-002-3T8A9080.jpg,/img/photos/portraits/20211105-PhilBoivin-002-3T8A9080.jpg
2015-02-06,Carina,Portrait au Vizcaya Museum & Gardens.,Miami,/img/photos/portraits/20150206-portraits-philboivin-002.jpg,/img/photos/portraits/20150206-portraits-philboivin-002.jpg
2016-11-12,Zoey,"Zoey, 3 mois.",Montréal,/img/photos/portraits/20161112-portraits-philboivin-009.jpg,/img/photos/portraits/20161112-portraits-philboivin-009.jpg
2021-09-08,Véronique Leduc,"La Presse - Portrait de Véronique Leduc, auteur du livre Infertilité : traverser la tempête.",Montréal,/img/photos/portraits/20210908-LaPresse-PhilBoivin-002.jpg,/img/photos/portraits/20210908-LaPresse-PhilBoivin-002.jpg
2021-05-08,Armand Vaillancourt,"Portrait d’Armand Vaillancourt capturé à Montréal lors d’une courte rencontre. Un artiste pertinent, généreux et qui en a encore long à dire.",Montréal,/img/photos/portraits/20210702-ArmandVaillancourt-PhilBoivin-001.jpg,/img/photos/portraits/20210702-ArmandVaillancourt-PhilBoivin-001.jpg
2015-11-29,Romain,Romain à 9 jours.,Montréal,/img/photos/portraits/20151129-portraits-philboivin-006.jpg,/img/photos/portraits/20151129-portraits-philboivin-006.jpg
2017-05-07,Vincent,Portrait corporatif en studio.,Montréal,/img/photos/portraits/20170507-portraits-philboivin-011.jpg,/img/photos/portraits/20170507-portraits-philboivin-011.jpg
2019-11-12,Véronique,Portrait en studio mobile.,Montréal,/img/photos/portraits/20191112-portraits-philboivin-018.jpg,/img/photos/portraits/20191112-portraits-philboivin-018.jpg
2017-05-14,Marie-Maude,Portrait en studio mobile.,Montréal,/img/photos/portraits/20170514-portraits-philboivin-012.jpg,/img/photos/portraits/20170514-portraits-philboivin-012.jpg
2017-10-01,Sam et Carina,Portrait en studio.,Montréal,/img/photos/portraits/20171001-portraits-philboivin-013.jpg,/img/photos/portraits/20171001-portraits-philboivin-013.jpg
2019--01-20,Zoey,Zoey et ses poupées.,Montréal,/img/photos/portraits/20190120-portraits-philboivin-015.jpg,/img/photos/portraits/20190120-portraits-philboivin-015.jpg
2019-01-26,Jocelyn,Portrait casting.,Montréal,/img/photos/portraits/20190126-portraits-philboivin-016.jpg,/img/photos/portraits/20190126-portraits-philboivin-016.jpg
2015-11-15,Carina,Expérimentation.,Montréal,/img/photos/portraits/20151115-portraits-philboivin-005.jpg,/img/photos/portraits/20151115-portraits-philboivin-005.jpg
2017-03-18,Len,Mes premiers tests studio avec une lumière.,Montréal,/img/photos/portraits/20170318-portraits-philboivin-010.jpg,/img/photos/portraits/20170318-portraits-philboivin-010.jpg
2017-10-28,Zoey,Zoey est curieuse et s'amuse avec la caméra.,Montréal,/img/photos/portraits/20171028-portraits-philboivin-014.jpg,/img/photos/portraits/20171028-portraits-philboivin-014.jpg
