date,title,description,location,url_thumb,url_full
2021-09-02,Lune illuminée,La Presse - Photo du parcours Jardins de lumière au Jardin botanique.,Montréal,/img/photos/press/20210902-LaPresse-PhilBoivin-001.jpg,/img/photos/press/20210902-LaPresse-PhilBoivin-001.jpg
2019-04-05,Je suis Taxi,Un chauffeur de taxi manifeste contre la loi 17.,Montréal,/img/photos/press/20190405-editorial-philboivin-017.jpg,/img/photos/press/20190405-editorial-philboivin-017.jpg
2021-11-16,Territoire Charlevoix,"Territoire Charlevoix, un projet de mini chalets et terrains de camping/glamping dans les montagnes.",La Malbaie,/img/photos/press/20211116-PhilBoivin-a034-3T8A4372.jpg,/img/photos/press/20211116-PhilBoivin-a034-3T8A4372.jpg
2021-11-25,André-Philippe Gagnon,Première du spectacle Monsieur tout le monde de André-Philippe Gagnon au Théatre St-Denis à Montréal.,Montréal,/img/photos/press/20211125-PhilBoivin-010-3T8A0245.jpg,/img/photos/press/20211125-PhilBoivin-010-3T8A0245.jpg
2020-12-05,Surf d'automne,Un surfeur sur le route vers le fleuve St-Laurent.,Montréal,/img/photos/press/20201205-philboivin-surf-route-001.jpg,/img/photos/press/20201205-philboivin-surf-route-001.jpg
2021-09-22,Lancement Valérie Plante,La Presse - Photo lors du lancement de la campagne de Valérie Plante.,Montréal,/img/photos/press/20210922-ValeriePlante-PhilBoivin-001.jpg,/img/photos/press/20210922-ValeriePlante-PhilBoivin-001.jpg
2014-11-29,Police au Super S.,Policiers durant une manifestation contre l'austérité.,Montréal,/img/photos/press/20141129-editorial-philboivin-004.jpg,/img/photos/press/20141129-editorial-philboivin-004.jpg
2021-09-28,Passeport Vaccinal,Validation du passport d'un membre dans un gym.,Montréal,/img/photos/press/20210928-passeport-vaccinal-gym-PhilBoivin-003.jpg,/img/photos/press/20210928-passeport-vaccinal-gym-PhilBoivin-003.jpg
2021-10-21,Rita Baga,"Première du «one drag show» de Rita Baga, Créature, au Théâtre Olympia.",Montréal,/img/photos/press/20211021-PhilBoivin-004-3T8A7046.jpg,/img/photos/press/20211021-PhilBoivin-004-3T8A7046.jpg
2019-04-10,Manifestation Loi 17,Marche en soutien aux chauffeurs de taxi.,Québec,/img/photos/press/20190410-editorial-philboivin-018.jpg,/img/photos/press/20190410-editorial-philboivin-018.jpg
